ID or #		Start	End	Type	Contig
cds-NP_459023.1		17867	19966	complete	contig_1:2335752-2333653
id-STM0018		17860	17865	complete	contig_1:2335759-2335754
gene-STM0019		20051	23054	complete	contig_1:2333568-2330565
cds-NP_459024.1		20058	23054	complete	contig_1:2333561-2330565
id-STM0019		20051	20056	complete	contig_1:2333568-2333563
gene-STM0020		23335	24039	complete	contig_1:2330284-2329580
cds-NP_459025.1		23335	24039	complete	contig_1:2330284-2329580
gene-STM0021		24462	25011	complete	contig_1:2329157-2328608
cds-NP_459026.1		24469	25011	complete	contig_1:2329150-2328608
id-STM0021		24462	24467	complete	contig_1:2329157-2329152
gene-STM0022		25105	25798	complete	contig_1:2328514-2327821
cds-NP_459027.1		25112	25798	complete	contig_1:2328507-2327821
id-STM0022		25105	25110	complete	contig_1:2328514-2328509
gene-STM0023		25803	28424	complete	contig_1:2327816-2325195
cds-NP_459028.1		25803	28424	complete	contig_1:2327816-2325195
gene-STM0024		28410	29432	complete	contig_1:2325209-2324187
cds-NP_459029.1		28425	29432	complete	contig_1:2325194-2324187
id-STM0024		28410	28415	complete	contig_1:2325209-2325204
gene-STM0025		29418	29978	complete	contig_1:2324201-2323641
cds-NP_459030.1		29433	29978	complete	contig_1:2324186-2323641
id-STM0025		29418	29423	complete	contig_1:2324201-2324196
gene-STM0026		29977	30512	complete	contig_1:2323642-2323107
cds-NP_459031.1		29994	30512	complete	contig_1:2323625-2323107
id-STM0026		29977	29982	complete	contig_1:2323642-2323637
id-STM0026-2		30466	30471	complete	contig_1:2323153-2323148
gene-STM0027		30466	31209	complete	contig_1:2323153-2322410
cds-NP_459032.1		30478	31209	complete	contig_1:2323141-2322410
gene-STM0028		31270	32119	complete	contig_1:2322349-2321500
cds-NP_459033.1		31274	32119	complete	contig_1:2322345-2321500
id-STM0028		31270	31275	complete	contig_1:2322349-2322344
gene-STM0029		32545	33000	complete	contig_1:2321074-2320619
cds-NP_459034.1		32545	32994	complete	contig_1:2321074-2320625
id-STM0029		32995	33000	complete	contig_1:2320624-2320619
gene-STM0030		33357	34368	complete	contig_1:2320262-2319251
cds-NP_459035.1		33364	34368	complete	contig_1:2320255-2319251
id-STM0030		33357	33362	complete	contig_1:2320262-2320257
gene-STM0031		34376	34816	complete	contig_1:2319243-2318803
cds-NP_459036.1		34376	34816	complete	contig_1:2319243-2318803
gene-STM0032		35331	37057	complete	contig_1:2318288-2316562
cds-NP_459037.1		35339	37057	complete	contig_1:2318280-2316562
id-STM0032		35331	35336	complete	contig_1:2318288-2318283
gene-STM0033		37103	38674	complete	contig_1:2316516-2314945
cds-NP_459038.1		37103	38674	complete	contig_1:2316516-2314945
gene-STM0034		38773	39540	complete	contig_1:2314846-2314079
cds-NP_459039.1		38773	39534	complete	contig_1:2314846-2314085
id-STM0034		39535	39540	complete	contig_1:2314084-2314079
gene-STM0035		40120	41624	complete	contig_1:2313499-2311995
cds-NP_459040.1		40131	41624	complete	contig_1:2313488-2311995
id-STM0035		40120	40125	complete	contig_1:2313499-2313494
gene-STM0036		41717	42913	complete	contig_1:2311902-2310706
cds-NP_459041.1		41723	42913	complete	contig_1:2311896-2310706
id-STM0036		41717	41722	complete	contig_1:2311902-2311897
gene-STM0037		42926	44185	complete	contig_1:2310693-2309434
cds-NP_459042.1		42932	44185	complete	contig_1:2310687-2309434
id-STM0037		42926	42931	complete	contig_1:2310693-2310688
gene-STM0038		44305	46027	complete	contig_1:2309314-2307592
cds-NP_459043.1		44312	46027	complete	contig_1:2309307-2307592
id-STM0038		44305	44310	complete	contig_1:2309314-2309309
gene-STM0039		46083	47356	complete	contig_1:2307536-2306263
cds-NP_459044.1		46190	47356	complete	contig_1:2307429-2306263
id-STM0039		46083	46091	complete	contig_1:2307536-2307528
id-STM0039-2		46110	46118	complete	contig_1:2307509-2307501
id-STM0039-3		46179	46184	complete	contig_1:2307440-2307435
gene-STM0040		47407	48317	complete	contig_1:2306212-2305302
cds-NP_459045.1		47418	48317	complete	contig_1:2306201-2305302
id-STM0040		47407	47412	complete	contig_1:2306212-2306207
gene-STM0041		48372	50417	complete	contig_1:2305247-2303202
cds-NP_459046.1		48372	50411	complete	contig_1:2305247-2303208
id-STM0041		50412	50417	complete	contig_1:2303207-2303202
gene-STM0042		50451	51829	complete	contig_1:2303168-2301790
cds-NP_459047.1		50451	51824	complete	contig_1:2303168-2301795
id-STM0042		51824	51829	complete	contig_1:2301795-2301790
gene-STM0043		52280	52550	complete	contig_1:2301339-2301069
cds-NP_459048.1		52280	52543	complete	contig_1:2301339-2301076
id-STM0043		52545	52550	complete	contig_1:2301074-2301069
gene-STM0044		52649	52864	complete	contig_1:2300970-2300755
cds-NP_459049.1		52649	52864	complete	contig_1:2300970-2300755
gene-STM0045		52872	53810	complete	contig_1:2300747-2299809
cds-NP_459050.1		52872	53810	complete	contig_1:2300747-2299809
gene-STM0046		53838	56689	complete	contig_1:2299781-2296930
cds-NP_459051.1		53855	56689	complete	contig_1:2299764-2296930
id-STM0046		53838	53843	complete	contig_1:2299781-2299776
gene-STM0047		56689	57189	complete	contig_1:2296930-2296430
cds-NP_459052.1		56689	57189	complete	contig_1:2296930-2296430
gene-STM0048		57328	57793	complete	contig_1:2296291-2295826
cds-NP_459053.1		57344	57793	complete	contig_1:2296275-2295826
id-STM0048		57328	57333	complete	contig_1:2296291-2296286
id-STM0048-2		57782	57787	complete	contig_1:2295837-2295832
gene-STM0049		57782	58746	complete	contig_1:2295837-2294873
cds-NP_459054.1		57796	58746	complete	contig_1:2295823-2294873
gene-STM0050		58940	60148	complete	contig_1:2294679-2293471
cds-NP_459055.1		58946	60148	complete	contig_1:2294673-2293471
id-STM0050		58940	58945	complete	contig_1:2294679-2294674
gene-STM0051		60151	61084	complete	contig_1:2293468-2292535
cds-NP_459056.1		60164	61084	complete	contig_1:2293455-2292535
id-STM0051		60151	60156	complete	contig_1:2293468-2293463
gene-STM0052		61106	61797	complete	contig_1:2292513-2291822
cds-NP_459057.1		61106	61792	complete	contig_1:2292513-2291827
id-STM0052		61792	61797	complete	contig_1:2291827-2291822
gene-STM0053		61794	63413	complete	contig_1:2291825-2290206
cds-NP_459058.1		61794	63413	complete	contig_1:2291825-2290206
gene-STM0054		63548	64855	complete	contig_1:2290071-2288764
cds-NP_459059.1		63548	64849	complete	contig_1:2290071-2288770
id-STM0054		64850	64855	complete	contig_1:2288769-2288764
gene-STM0055		64862	66644	complete	contig_1:2288757-2286975
cds-NP_459060.1		64862	66637	complete	contig_1:2288757-2286982
id-STM0055		66639	66644	complete	contig_1:2286980-2286975
gene-STM0056		66654	66899	complete	contig_1:2286965-2286720
cds-NP_459061.1		66654	66893	complete	contig_1:2286965-2286726
id-STM0056		66894	66899	complete	contig_1:2286725-2286720
gene-STM0057		67052	68400	complete	contig_1:2286567-2285219
cds-NP_459062.1		67052	68392	complete	contig_1:2286567-2285227
id-STM0057		68395	68400	complete	contig_1:2285224-2285219
gene-STM0058		68637	69680	complete	contig_1:2284982-2283939
cds-NP_459063.1		68637	69680	complete	contig_1:2284982-2283939
gene-STM0059		69703	70003	complete	contig_1:2283916-2283616
cds-NP_459064.1		69710	70003	complete	contig_1:2283909-2283616
id-STM0059		69703	69708	complete	contig_1:2283916-2283911
id-STM0059-2		69994	69999	complete	contig_1:2283625-2283620
gene-STM0060		69994	70869	complete	contig_1:2283625-2282750
cds-NP_459065.1		70000	70869	complete	contig_1:2283619-2282750
gene-STM0061		70873	72400	complete	contig_1:2282746-2281219
cds-NP_459066.1		70880	72400	complete	contig_1:2282739-2281219
id-STM0061		70873	70878	complete	contig_1:2282746-2282741
gene-STM0062		72394	72951	complete	contig_1:2281225-2280668
cds-NP_459067.1		72400	72951	complete	contig_1:2281219-2280668
id-STM0062		72394	72399	complete	contig_1:2281225-2281220
id-STM0062-2		72923	72928	complete	contig_1:2280696-2280691
gene-STM0063		72923	73837	complete	contig_1:2280696-2279782
cds-NP_459068.1		72929	73837	complete	contig_1:2280690-2279782
gene-STM0064		74007	74838	complete	contig_1:2279612-2278781
cds-NP_459069.1		74017	74838	complete	contig_1:2279602-2278781
id-STM0064		74007	74012	complete	contig_1:2279612-2279607
gene-STM0065		75088	75435	complete	contig_1:2278531-2278184
cds-NP_446529.1		75088	75435	complete	contig_1:2278531-2278184
id-NC_003197.2:75470..75484		75470	75484	complete	contig_1:2278149-2278135
gene-STM0066		75812	77028	complete	contig_1:2277807-2276591
cds-NP_459071.1		75880	77028	complete	contig_1:2277739-2276591
id-STM0066		75820	75832	complete	contig_1:2277799-2277787
id-STM0066-2		75852	75870	complete	contig_1:2277767-2277749
id-STM0066-3		75812	75820	complete	contig_1:2277807-2277799
id-STM0066-4		75836	75844	complete	contig_1:2277783-2277775
id-STM0066-5		75868	75873	complete	contig_1:2277751-2277746
gene-STM0067		77030	80274	complete	contig_1:2276589-2273345
cds-NP_459072.1		77047	80274	complete	contig_1:2276572-2273345
id-STM0067		77030	77035	complete	contig_1:2276589-2276584
id-NC_003197.2:80396..80420		80396	80420	complete	contig_1:2273223-2273199
id-NC_003197.2:80416..80436		80416	80436	complete	contig_1:2273203-2273183
gene-STM0068		80459	80943	complete	contig_1:2273160-2272676
cds-NP_459073.1		80548	80943	complete	contig_1:2273071-2272676
id-STM0068		80459	80467	complete	contig_1:2273160-2273152
id-STM0068-2		80486	80494	complete	contig_1:2273133-2273125
id-STM0068-3		80537	80542	complete	contig_1:2273082-2273077
gene-STM0069		81020	81627	complete	contig_1:2272599-2271992
cds-NP_459074.1		81020	81616	complete	contig_1:2272599-2272003
id-STM0069		81622	81627	complete	contig_1:2271997-2271992
gene-STM0070		81725	82523	complete	contig_1:2271894-2271096
cds-NP_459075.1		81725	82510	complete	contig_1:2271894-2271109
id-STM0070		82518	82523	complete	contig_1:2271101-2271096
gene-STM0071		82564	84131	complete	contig_1:2271055-2269488
cds-NP_459076.1		82564	84117	complete	contig_1:2271055-2269502
id-STM0071		84126	84131	complete	contig_1:2269493-2269488
gene-STM0072		84180	85410	complete	contig_1:2269439-2268209
cds-NP_459077.1		84180	85397	complete	contig_1:2269439-2268222
id-STM0072		85405	85410	complete	contig_1:2268214-2268209
gene-STM0073		85509	86662	complete	contig_1:2268110-2266957
cds-NP_459078.1		85509	86651	complete	contig_1:2268110-2266968
id-STM0073		86657	86662	complete	contig_1:2266962-2266957
gene-STM0074		86686	88216	complete	contig_1:2266933-2265403
cds-NP_459079.1		86686	88203	complete	contig_1:2266933-2265416
id-STM0074		88211	88216	complete	contig_1:2265408-2265403
id-NC_003197.2:88340..88366		88340	88366	complete	contig_1:2265279-2265253
id-NC_003197.2:88461..88489		88461	88489	complete	contig_1:2265158-2265130
id-NC_003197.2:88532..88552		88532	88552	complete	contig_1:2265087-2265067
gene-STM0075		88547	89454	complete	contig_1:2265072-2264165
cds-NP_459080.1		88684	89454	complete	contig_1:2264935-2264165
id-STM0075		88547	88555	complete	contig_1:2265072-2265064
id-STM0075-2		88574	88582	complete	contig_1:2265045-2265037
id-STM0075-3		88673	88678	complete	contig_1:2264946-2264941
gene-STM0076		89459	90411	complete	contig_1:2264160-2263208
cds-NP_459081.1		89470	90411	complete	contig_1:2264149-2263208
id-STM0076		89459	89464	complete	contig_1:2264160-2264155
gene-STM0077		90450	91747	complete	contig_1:2263169-2261872
cds-NP_459082.1		90461	91747	complete	contig_1:2263158-2261872
id-STM0077		90450	90455	complete	contig_1:2263169-2263164
gene-STM0078		91728	92031	complete	contig_1:2261891-2261588
cds-NP_459083.1		91744	92031	complete	contig_1:2261875-2261588
id-STM0078		91728	91733	complete	contig_1:2261891-2261886
gene-STM0079		92166	93518	complete	contig_1:2261453-2260101
cds-NP_459084.1		92178	93518	complete	contig_1:2261441-2260101
id-STM0079		92166	92171	complete	contig_1:2261453-2261448
gene-STM0080		93601	93837	complete	contig_1:2260018-2259782
cds-NP_459085.1		93607	93837	complete	contig_1:2260012-2259782
id-STM0080		93601	93606	complete	contig_1:2260018-2260013
gene-STM0081		94123	94547	complete	contig_1:2259496-2259072
cds-NP_459086.1		94131	94547	complete	contig_1:2259488-2259072
id-STM0081		94123	94128	complete	contig_1:2259496-2259491
gene-STM0082		94771	95069	complete	contig_1:2258848-2258550
cds-NP_459087.1		94771	95061	complete	contig_1:2258848-2258558
id-STM0082		95064	95069	complete	contig_1:2258555-2258550
gene-STM0083		95271	95465	complete	contig_1:2258348-2258154
cds-NP_446547.1		95271	95465	complete	contig_1:2258348-2258154
gene-STM0084		95952	97848	complete	contig_1:2257667-2255771
cds-NP_459089.1		95959	97848	complete	contig_1:2257660-2255771
id-STM0084		95952	95957	complete	contig_1:2257667-2257662
gene-STM0085		98245	98785	complete	contig_1:2255374-2254834
cds-NP_459090.1		98255	98785	complete	contig_1:2255364-2254834
id-STM0085		98245	98250	complete	contig_1:2255374-2255369
id-STM0085-2		98765	98770	complete	contig_1:2254854-2254849
gene-STM0086		98765	100640	complete	contig_1:2254854-2252979
cds-NP_459091.1		98778	100640	complete	contig_1:2254841-2252979
gene-STM0087		100826	101318	complete	contig_1:2252793-2252301
cds-NP_459092.1		100839	101318	complete	contig_1:2252780-2252301
id-STM0087		100826	100831	complete	contig_1:2252793-2252788
gene-STM0088		101424	102272	complete	contig_1:2252195-2251347
cds-NP_459093.1		101424	102272	complete	contig_1:2252195-2251347
gene-STM0089		102283	102674	complete	contig_1:2251336-2250945
cds-NP_459094.1		102283	102660	complete	contig_1:2251336-2250959
id-STM0089		102669	102674	complete	contig_1:2250950-2250945
gene-STM0090		102663	103484	complete	contig_1:2250956-2250135
cds-NP_459095.1		102663	103484	complete	contig_1:2250956-2250135
gene-STM0091		103481	104470	complete	contig_1:2250138-2249149
cds-NP_459096.1		103481	104470	complete	contig_1:2250138-2249149
gene-STM0092		104470	105767	complete	contig_1:2249149-2247852
cds-NP_459097.1		104470	105756	complete	contig_1:2249149-2247863
id-STM0092		105762	105767	complete	contig_1:2247857-2247852
gene-STM0093		105810	108170	complete	contig_1:2247809-2245449
cds-NP_459098.1		105810	108170	complete	contig_1:2247809-2245449
gene-STM0094		108413	109236	complete	contig_1:2245206-2244383
cds-NP_459099.1		108424	109236	complete	contig_1:2245195-2244383
id-STM0094		108413	108418	complete	contig_1:2245206-2245201
gene-STM0095		109331	110002	complete	contig_1:2244288-2243617
cds-NP_459100.1		109331	109990	complete	contig_1:2244288-2243629
id-STM0095		109997	110002	complete	contig_1:2243622-2243617
gene-STM0096		110002	112908	complete	contig_1:2243617-2240711
cds-NP_459101.1		110002	112908	complete	contig_1:2243617-2240711
gene-STM0097		113082	115445	complete	contig_1:2240537-2238174
cds-NP_459102.1		113082	115433	complete	contig_1:2240537-2238186
id-STM0097		115440	115445	complete	contig_1:2238179-2238174
gene-STM0098		115477	116102	complete	contig_1:2238142-2237517
cds-NP_459103.1		115477	116097	complete	contig_1:2238142-2237522
id-STM0098		116097	116102	complete	contig_1:2237522-2237517
gene-STM0099		116294	116601	complete	contig_1:2237325-2237018
cds-NP_446563.1		116299	116601	complete	contig_1:2237320-2237018
id-STM0099		116294	116299	complete	contig_1:2237325-2237320
gene-STM0100		116816	117235	complete	contig_1:2236803-2236384
cds-NP_459105.1		116816	117235	complete	contig_1:2236803-2236384
gene-STM0101		117241	117949	complete	contig_1:2236378-2235670
cds-NP_459106.1		117241	117936	complete	contig_1:2236378-2235683
id-STM0101		117944	117949	complete	contig_1:2235675-2235670
gene-STM0102		118077	119591	complete	contig_1:2235542-2234028
cds-NP_459107.1		118077	119579	complete	contig_1:2235542-2234040
id-STM0102		119586	119591	complete	contig_1:2234033-2234028
gene-STM0103		119590	121412	complete	contig_1:2234029-2232207
cds-NP_459108.1		119590	121299	complete	contig_1:2234029-2232320
id-STM0103		121352	121370	complete	contig_1:2232267-2232249
id-STM0103-2		121378	121396	complete	contig_1:2232241-2232223
id-STM0103-3		121307	121312	complete	contig_1:2232312-2232307
id-STM0103-4		121385	121393	complete	contig_1:2232234-2232226
id-STM0103-5		121404	121412	complete	contig_1:2232215-2232207
id-NC_003197.2:121374..121392		121374	121392	complete	contig_1:2232245-2232227
id-NC_003197.2:121406..121433		121406	121433	complete	contig_1:2232213-2232186
id-NC_003197.2:121412..121432		121412	121432	complete	contig_1:2232207-2232187
id-NC_003197.2:121430..121448		121430	121448	complete	contig_1:2232189-2232171
id-NC_003197.2:121464..121482		121464	121482	complete	contig_1:2232155-2232137
gene-STM0104		121528	122485	complete	contig_1:2232091-2231134
cds-NP_459109.1		121640	122485	complete	contig_1:2231979-2231134
id-STM0104		121590	121608	complete	contig_1:2232029-2232011
id-STM0104-2		121528	121536	complete	contig_1:2232091-2232083
id-STM0104-3		121552	121560	complete	contig_1:2232067-2232059
id-STM0104-4		121632	121637	complete	contig_1:2231987-2231982
id-NC_003197.2:121602..121620		121602	121620	complete	contig_1:2232017-2231999
gene-STM0105		122593	123371	complete	contig_1:2231026-2230248
cds-NP_459110.1		122604	123371	complete	contig_1:2231015-2230248
id-STM0105		122593	122598	complete	contig_1:2231026-2231021
gene-STM0106		123410	124136	complete	contig_1:2230209-2229483
cds-NP_459111.1		123410	124117	complete	contig_1:2230209-2229502
id-STM0106		124131	124136	complete	contig_1:2229488-2229483
gene-STM0107		124101	125728	complete	contig_1:2229518-2227891
cds-NP_459112.1		124101	125711	complete	contig_1:2229518-2227908
gene-STM0108		125687	126680	complete	contig_1:2227932-2226939
cds-NP_459113.1		125687	126670	complete	contig_1:2227932-2226949
id-STM0108		125723	125728	complete	contig_1:2227896-2227891
id-STM0108-2		126675	126680	complete	contig_1:2226944-2226939
gene-STM0109		126848	128522	complete	contig_1:2226771-2225097
cds-NP_459114.1		126848	128506	complete	contig_1:2226771-2225113
id-STM0109		128517	128522	complete	contig_1:2225102-2225097
gene-STM0110		129057	129674	complete	contig_1:2224562-2223945
cds-NP_459115.1		129057	129662	complete	contig_1:2224562-2223957
id-STM0110		129669	129674	complete	contig_1:2223950-2223945
gene-STM0111		129673	131086	complete	contig_1:2223946-2222533
cds-NP_459116.1		129673	131073	complete	contig_1:2223946-2222546
gene-STM0112		131076	132181	complete	contig_1:2222543-2221438
cds-NP_459117.1		131076	132167	complete	contig_1:2222543-2221452
id-STM0112		131081	131086	complete	contig_1:2222538-2222533
id-STM0112-2		132176	132181	complete	contig_1:2221443-2221438
gene-STM0113		132167	133758	complete	contig_1:2221452-2219861
cds-NP_459118.1		132167	133738	complete	contig_1:2221452-2219881
id-STM0113		133753	133758	complete	contig_1:2219866-2219861
gene-STM0114		133826	134057	complete	contig_1:2219793-2219562
cds-NP_459119.1		133826	133912	complete	contig_1:2219793-2219707
id-STM0114		133921	133926	complete	contig_1:2219698-2219693
id-STM0114-2		134030	134038	complete	contig_1:2219589-2219581
id-STM0114-3		134049	134057	complete	contig_1:2219570-2219562
gene-STM0115		134557	135513	complete	contig_1:2219062-2218106
cds-NP_459120.1		134569	135513	complete	contig_1:2219050-2218106
id-STM0115		134557	134562	complete	contig_1:2219062-2219057
id-NC_003197.2:135700..135712		135700	135712	complete	contig_1:2217919-2217907
id-NC_003197.2:135720..135732		135720	135732	complete	contig_1:2217899-2217887
gene-STM0116		135770	137559	complete	contig_1:2217849-2216060
cds-NP_459121.1		135898	137559	complete	contig_1:2217721-2216060
id-STM0116		135773	135795	complete	contig_1:2217846-2217824
id-STM0116-2		135836	135850	complete	contig_1:2217783-2217769
id-STM0116-3		135926	135938	complete	contig_1:2217693-2217681
id-STM0116-4		135928	135942	complete	contig_1:2217691-2217677
id-STM0116-5		135770	135778	complete	contig_1:2217849-2217841
id-STM0116-6		135797	135805	complete	contig_1:2217822-2217814
id-STM0116-7		135884	135889	complete	contig_1:2217735-2217730
gene-STM0117		137550	138053	complete	contig_1:2216069-2215566
cds-NP_459122.1		137562	138053	complete	contig_1:2216057-2215566
id-STM0117		137550	137555	complete	contig_1:2216069-2216064
gene-STM0118		138326	139341	complete	contig_1:2215293-2214278
cds-NP_459123.1		138337	139341	complete	contig_1:2215282-2214278
id-STM0118		138326	138331	complete	contig_1:2215293-2215288
gene-STM0119		139931	140405	complete	contig_1:2213688-2213214
cds-NP_459124.1		139947	140405	complete	contig_1:2213672-2213214
id-STM0119		139931	139936	complete	contig_1:2213688-2213683
id-STM0119-2		140388	140393	complete	contig_1:2213231-2213226
gene-STM0120		140388	141348	complete	contig_1:2213231-2212271
cds-NP_459125.1		140407	141348	complete	contig_1:2213212-2212271
gene-STM0121		141333	141710	complete	contig_1:2212286-2211909
cds-NP_459126.1		141345	141710	complete	contig_1:2212274-2211909
id-STM0121		141333	141338	complete	contig_1:2212286-2212281
gene-STM0122		141709	143492	complete	contig_1:2211910-2210127
cds-NP_459127.1		141726	143492	complete	contig_1:2211893-2210127
id-STM0122		141709	141714	complete	contig_1:2211910-2211905
gene-STM0123		143469	144966	complete	contig_1:2210150-2208653
cds-NP_459128.1		143479	144966	complete	contig_1:2210140-2208653
id-STM0123		143469	143474	complete	contig_1:2210150-2210145
gene-STM0124		144949	146321	complete	contig_1:2208670-2207298
cds-NP_459129.1		144963	146321	complete	contig_1:2208656-2207298
id-STM0124		144949	144954	complete	contig_1:2208670-2208665
gene-STM0125		146301	147397	complete	contig_1:2207318-2206222
cds-NP_459130.1		146315	147397	complete	contig_1:2207304-2206222
id-STM0125		146301	146306	complete	contig_1:2207318-2207313
id-STM0125-2		147386	147391	complete	contig_1:2206233-2206228
gene-STM0126		147386	148716	complete	contig_1:2206233-2204903
cds-NP_459131.1		147400	148716	complete	contig_1:2206219-2204903
gene-STM0127		148702	149960	complete	contig_1:2204917-2203659
cds-NP_459132.1		148716	149960	complete	contig_1:2204903-2203659
id-STM0127		148702	148707	complete	contig_1:2204917-2204912
gene-STM0128		149947	151024	complete	contig_1:2203672-2202595
cds-NP_459133.1		149957	151024	complete	contig_1:2203662-2202595
id-STM0128		149947	149952	complete	contig_1:2203672-2203667
gene-STM0129		151131	152618	complete	contig_1:2202488-2201001
cds-NP_459134.1		151143	152618	complete	contig_1:2202476-2201001
id-STM0129		151131	151136	complete	contig_1:2202488-2202483
gene-STM0130		152595	153531	complete	contig_1:2201024-2200088
cds-NP_459135.1		152611	153531	complete	contig_1:2201008-2200088
id-STM0130		152595	152600	complete	contig_1:2201024-2201019
id-STM0130-2		153375	153383	complete	contig_1:2200244-2200236
id-STM0130-3		153401	153409	complete	contig_1:2200218-2200210
id-STM0130-4		153514	153519	complete	contig_1:2200105-2200100
gene-STM0131		153375	154363	complete	contig_1:2200244-2199256
cds-NP_459136.1		153533	154363	complete	contig_1:2200086-2199256
id-STM0131		154346	154351	complete	contig_1:2199273-2199268
gene-STM0132		154346	155622	complete	contig_1:2199273-2197997
cds-NP_459137.1		154360	155622	complete	contig_1:2199259-2197997
gene-STM0133		155670	156834	complete	contig_1:2197949-2196785
cds-NP_459138.1		155683	156834	complete	contig_1:2197936-2196785
id-STM0133		155670	155675	complete	contig_1:2197949-2197944
gene-STM0134		156919	157852	complete	contig_1:2196700-2195767
cds-NP_459139.1		156935	157852	complete	contig_1:2196684-2195767
id-STM0134		156919	156924	complete	contig_1:2196700-2196695
gene-STM0135		158199	158627	complete	contig_1:2195420-2194992
cds-NP_459140.3		158199	158627	complete	contig_1:2195420-2194992
gene-STM0136		158689	161394	complete	contig_1:2194930-2192225
cds-NP_459141.1		158689	161394	complete	contig_1:2194930-2192225
gene-STM0137		161532	161941	complete	contig_1:2192087-2191678
cds-NP_459142.1		161546	161941	complete	contig_1:2192073-2191678
id-STM0137		161532	161537	complete	contig_1:2192087-2192082
gene-STM0138		162263	162465	complete	contig_1:2191356-2191154
